date,Weight,BodyFatPercentage,LeanBodyMass,StepCount,DistanceWalkingRunning,BasalCaloriesBurned,ActiveCaloriesBurned,CaloriesIn,TDEE,NetCalories,TrendWeight,TrendBodyFatPercentage,TrendLeanBodyMass,TrendBasalCaloriesBurned,TrendActiveCaloriesBurned,TrendCaloriesIn,TrendTDEE,TrendNetCalories
2022-01-11,,,,8670.0,6.461972366,2660.6270000000013,1072.8159999999991,,3733.443,,107.59084747971666,0.32287790875575545,72.71434021845431,2542.698338355477,1329.9614731484844,735.9921245551121,3872.6598115039615,-3131.8572136099397
2022-01-12,,,,8255.0,6.132329606000002,2651.197,1038.1590000000017,,3689.3560000000016,,107.67968465865299,0.32356166584919094,72.71823287060244,2557.1648265747467,1291.0544767286867,735.9921245551121,3848.2193033034337,-3131.8572136099397
2022-01-13,,,,4431.0,3.3781322889999994,2495.007000000001,609.3630000000009,,3104.3700000000017,,107.76392909336013,0.32424335677944377,72.71679974202357,2548.8771163647807,1200.1622798315286,735.9921245551121,3749.0393961963096,-3131.8572136099397
2022-01-14,,,,2833.0,2.2301966509999995,2318.445,341.87800000000067,,2660.323000000001,,107.8441931497353,0.32492325703493824,72.71075093681463,2518.1528341828102,1085.7243758539917,735.9921245551121,3603.877210036802,-3131.8572136099397
2022-01-15,,,,9704.0,7.445570226,2574.0599999999977,980.6410000000001,,3554.7009999999977,,107.92100754488943,0.3256016053723088,72.7007018785263,2525.6071229584354,1071.7132590734595,735.9921245551121,3597.320382031895,-3131.8572136099397
2022-01-16,,,,6858.0,5.128993920000002,2591.0329999999994,840.6030000000012,,3431.6360000000004,,107.994832233652,0.32627860871397196,72.68718593423584,2534.330573230644,1040.898557863665,735.9921245551121,3575.229131094309,-3131.8572136099397
2022-01-17,,,,5635.0,4.011420504000001,2339.231999999998,755.2119999999999,,3094.443999999998,,108.06606584354189,0.3269544463926888,72.6706653554102,2508.3174301332247,1002.8070168151763,735.9921245551121,3511.1244469484013,-3131.8572136099397
2022-01-18,,,,6105.0,4.455084643999999,2343.8899999999994,801.3950000000001,,3145.2849999999994,,108.1350538517421,0.32762927383018536,72.65154075998738,2486.393772782128,975.9520812398196,735.9921245551121,3462.345854021948,-3131.8572136099397
2022-01-19,,,,6298.0,4.734235801999996,2694.295000000003,860.0330000000001,,3554.328000000003,,108.20209567181128,0.3283032257252911,72.63015935018038,2514.113936411178,960.4962037411769,735.9921245551121,3474.6101401523556,-3131.8572136099397
2022-01-20,,,,9053.0,6.717075319999999,2653.8950000000023,1087.1269999999993,,3741.0220000000018,,108.26745079550021,0.3289764188169914,72.60682203457372,2532.751411556355,977.38030990902,735.9921245551121,3510.131721465375,-3131.8572136099397
